County,State,Dem,Rep
Lincoln,AR,38.24,59.02
Little River,AR,30.73,67.02
Logan,AR,27.4,69.28
Lonoke,AR,23.33,74.15
Madison,AR,31.96,64.91
Marion,AR,28.89,67.71
Miller,AR,29.47,69.29
Mississippi,AR,48.35,49.37
Monroe,AR,49.01,49.07
Montgomery,AR,27.03,69.59
Nevada,AR,38.83,58.98
Newton,AR,27.12,68.51
Ouachita,AR,44.92,53.52
Perry,AR,30.14,65.54
Phillips,AR,65.6,32.76
Pike,AR,22.47,75.16
Poinsett,AR,31.61,65.79
Polk,AR,20.14,77.08
Pope,AR,25.08,72.23
Prairie,AR,28.02,68.55
Pulaski,AR,54.74,43.28
Randolph,AR,34.35,62.14
St Francis,AR,58.72,40.28
Saline,AR,27.34,70.04
Scott,AR,24.64,72.28
Searcy,AR,22.04,73.06
Sebastian,AR,30.19,67.27
Sevier,AR,24.06,72.42
Sharp,AR,28.72,67.57
Stone,AR,25.33,70.53
Union,AR,36.07,62.29
Van Buren,AR,28.49,67.88
Washington,AR,40.07,56.33
White,AR,21.74,75.47
Woodruff,AR,49.91,45.7
Yell,AR,28.82,67.66
Alameda,CA,78.69,18.12
Alpine,CA,59.48,36.09
Amador,CA,38.6,58.11
Butte,CA,46.88,48.87
Calaveras,CA,39.66,56.56
Colusa,CA,38.28,59.57
Contra Costa,CA,66.23,31.09
Del Norte,CA,43.23,52.61
El Dorado,CA,39.51,57.27
Fresno,CA,49.72,47.94
Glenn,CA,35.73,60.97
Humboldt,CA,59.73,32.63
Imperial,CA,65.18,33.13
Inyo,CA,42.58,54.01
Kern,CA,40.28,56.99
Kings,CA,41.31,56.24
Lake,CA,56.27,39.33
Lassen,CA,28.47,68.03
Los Angeles,CA,69.69,27.83
Madera,CA,40.11,57.23
Marin,CA,74.14,22.92
Mariposa,CA,38.7,56.87
Mendocino,CA,66.01,27.49
Merced,CA,53.04,44.33
Modoc,CA,27.64,69.1
Mono,CA,52.75,44.1
Monterey,CA,67.13,30.27
Napa,CA,62.97,34.28
Nevada,CA,47.73,48.35
Orange,CA,45.65,51.87
Placer,CA,38.91,58.19
Plumas,CA,39.94,56.76
Riverside,CA,49.62,47.97
Sacramento,CA,58.06,39.13
San Benito,CA,59.1,38.48
San Bernardino,CA,52.34,45.01
San Diego,CA,52.51,44.95
San Francisco,CA,83.4,13.01
San Joaquin,CA,55.57,41.91
San Luis Obispo,CA,48.63,47.61
San Mateo,CA,72.13,25.46
Santa Barbara,CA,57.44,39.42
Santa Clara,CA,69.97,27.14
Santa Cruz,CA,75.43,19.98
Shasta,CA,33.75,62.83
Sierra,CA,36.3,58.7
Siskiyou,CA,40.24,55.4
Solano,CA,63.32,34.08
Sonoma,CA,70.99,25.26
Stanislaus,CA,49.88,47.14
Sutter,CA,39.22,58.3
Tehama,CA,34.53,61.95
Trinity,CA,46.59,47.33
Tulare,CA,41.22,56.24
Tuolumne,CA,40.38,56.06
Ventura,CA,52.16,45.15
Yolo,CA,65.24,31.29
Yuba,CA,39.02,57.06
Adams,CO,56.9,40.12
Alamosa,CO,56.75,40.28
Arapahoe,CO,53.9,43.99
Archuleta,CO,39.78,57.5
Baca,CO,22.17,74.03
Bent,CO,41.97,55.36
Boulder,CO,69.69,27.84
Chaffee,CO,48.61,48.46
Cheyenne,CO,15.74,81.34
Clear Creek,CO,54.31,42.31
Conejos,CO,53.96,44.75
Costilla,CO,72.95,24.28
Crowley,CO,35.62,61.52
Custer,CO,31.97,65.86
Delta,CO,29.02,68.54
Denver,CO,73.41,24.18
Dolores,CO,26.83,69.0
Douglas,CO,36.35,62.11
Eagle,CO,56.43,41.52
Elbert,CO,25.41,72.41
El Paso,CO,38.54,58.91
Fremont,CO,32.84,64.53
Garfield,CO,46.32,51.36
Gilpin,CO,56.68,40.32
Grand,CO,45.0,51.95
Gunnison,CO,58.2,38.55
Hinsdale,CO,38.17,58.83
Huerfano,CO,52.46,44.21
Jackson,CO,25.47,70.75
Jefferson,CO,51.21,46.36
Kiowa,CO,14.37,82.46
Kit Carson,CO,22.64,75.23
Lake,CO,60.49,36.12
La Plata,CO,52.85,43.65
Larimer,CO,51.47,45.72
Las Animas,CO,50.2,47.55
Lincoln,CO,24.14,73.76
Logan,CO,29.72,67.72
Mesa,CO,32.69,65.08
Mineral,CO,44.77,52.92
Moffat,CO,21.56,76.12
Montezuma,CO,36.87,60.08
Montrose,CO,30.49,67.32
Morgan,CO,36.3,61.26
Otero,CO,44.52,53.49
Ouray,CO,51.41,46.25
Park,CO,41.23,55.9
Phillips,CO,25.96,72.27
Pitkin,CO,67.98,30.01
Prowers,CO,31.24,66.42
Pueblo,CO,55.68,41.74
Rio Blanco,CO,16.86,80.85
Rio Grande,CO,44.79,52.74
Routt,CO,56.67,41.07
Saguache,CO,63.61,32.88
San Juan,CO,52.57,41.9
San Miguel,CO,70.3,27.11
Sedgwick,CO,31.32,65.84
Summit,CO,61.04,36.38
Teller,CO,32.16,64.59
Washington,CO,18.06,80.12
Weld,CO,42.18,54.84
Yuma,CO,21.56,76.25
Fairfield,CT,54.85,44.22
Hartford,CT,62.37,36.52
Litchfield,CT,47.45,51.07
Middlesex,CT,57.29,41.41
New Haven,CT,60.65,38.32
New London,CT,58.33,40.07
Tolland,CT,55.45,42.89
Windham,CT,55.72,42.43
Kent,DE,51.73,46.79
New Castle,DE,66.3,32.23
Sussex,DE,42.88,55.9
Washington,DC,90.91,7.28
Alachua,FL,57.71,40.4
Baker,FL,20.29,78.8
Bay,FL,27.53,71.01
Bradford,FL,28.51,70.46
Brevard,FL,42.94,55.62
Broward,FL,67.12,32.23
Calhoun,FL,26.91,70.61
Charlotte,FL,42.28,56.52
Citrus,FL,38.37,60.22
Clay,FL,26.61,72.33
Collier,FL,34.62,64.64
Columbia,FL,31.08,67.69
De Soto,FL,42.22,56.51
Dixie,FL,25.84,72.6
Duval,FL,47.67,51.27
Escambia,FL,39.06,59.55
Flagler,FL,45.77,53.19
Franklin,FL,33.58,64.98
Gadsden,FL,70.01,29.43
Gilchrist,FL,23.75,74.55
Glades,FL,40.03,58.54
Gulf,FL,28.26,70.1
Hamilton,FL,41.11,57.9
Hardee,FL,34.0,64.83
Hendry,FL,46.51,52.42
Hernando,FL,45.07,53.54
Highlands,FL,37.96,60.92
Hillsborough,FL,52.71,46.04
Holmes,FL,15.25,83.46
Indian River,FL,38.41,60.7
Jackson,FL,35.02,64.0
Jefferson,FL,50.45,48.7
Lafayette,FL,20.17,78.33
Lake,FL,40.89,57.99
Lee,FL,41.32,57.83
Leon,FL,61.13,37.54
Levy,FL,33.15,65.31
Liberty,FL,28.64,69.96
Madison,FL,47.85,51.27
Manatee,FL,43.22,55.65
Marion,FL,41.32,57.53
Martin,FL,38.09,60.96
Miami-Dade,FL,61.58,37.87
Monroe,FL,49.56,49.12
Nassau,FL,25.23,73.67
Okaloosa,FL,24.63,73.8
Okeechobee,FL,39.27,59.25
Orange,FL,58.56,40.36
Osceola,FL,61.73,37.27
Palm Beach,FL,58.14,41.13
Pasco,FL,45.86,52.48
Pinellas,FL,52.08,46.45
Polk,FL,45.95,52.75
Putnam,FL,37.13,61.5
St Johns,FL,30.59,68.25
St Lucie,FL,53.42,45.58
Santa Rosa,FL,23.06,75.51
Sarasota,FL,45.74,53.14
Seminole,FL,46.12,52.57
Sumter,FL,32.25,67.13
Suwannee,FL,26.85,71.63
Taylor,FL,30.24,68.37
Union,FL,24.76,73.59
Volusia,FL,48.78,49.94
Wakulla,FL,35.21,63.21
Walton,FL,23.34,75.19
Washington,FL,25.54,72.79
Appling,GA,24.78,73.78
Atkinson,GA,31.99,66.67
Bacon,GA,20.1,78.58
Baker,GA,49.91,49.34
Baldwin,GA,52.14,46.64
Banks,GA,12.57,86.3
Barrow,GA,23.85,74.1
Bartow,GA,23.39,74.87
Ben Hill,GA,42.08,56.88
Berrien,GA,20.45,77.81
Bibb,GA,59.54,39.54
Bleckley,GA,25.79,72.91
Brantley,GA,15.6,82.46
Brooks,GA,46.46,52.62
Bryan,GA,27.51,70.94
Bulloch,GA,39.75,58.73
Burke,GA,55.19,43.92
Butts,GA,31.57,67.09
Calhoun,GA,59.3,40.34
Camden,GA,35.33,62.84
Candler,GA,32.77,66.38
Carroll,GA,30.45,67.86
Catoosa,GA,22.55,75.06
Charlton,GA,31.79,67.12
Chatham,GA,55.36,43.38
Chattahoochee,GA,48.83,49.23
Chattooga,GA,28.36,69.28
Cherokee,GA,20.16,77.73
Clarke,GA,62.77,34.1
Clay,GA,61.44,38.28
Clayton,GA,84.67,14.72
Clinch,GA,34.42,64.57
Cobb,GA,42.83,55.25
Coffee,GA,34.94,63.89
Colquitt,GA,29.77,69.25
Columbia,GA,27.85,70.7
Cook,GA,33.8,65.14
Coweta,GA,27.22,71.17
Crawford,GA,33.16,65.47
Crisp,GA,42.8,56.51
Dade,GA,23.33,73.94
Dawson,GA,12.09,86.19
Decatur,GA,43.72,55.47
De Kalb,GA,77.63,20.98
Dodge,GA,31.49,67.24
Dooly,GA,53.11,46.14
Dougherty,GA,69.24,30.15
Douglas,GA,51.36,47.38
Early,GA,51.6,47.71
Echols,GA,15.66,82.99
Effingham,GA,23.72,74.79
Elbert,GA,39.0,59.58
Emanuel,GA,36.18,63.05
Evans,GA,35.57,63.62
Fannin,GA,20.16,78.1
Fayette,GA,33.61,64.83
Floyd,GA,29.28,69.04
Forsyth,GA,17.79,80.47
Franklin,GA,19.27,78.62
Fulton,GA,64.13,34.42
Gilmer,GA,17.71,80.76
Glascock,GA,13.17,84.96
Glynn,GA,36.0,62.95
Gordon,GA,20.31,77.91
Grady,GA,36.32,62.93
Greene,GA,38.44,60.9
Gwinnett,GA,44.56,53.76
Habersham,GA,15.68,82.9
Hall,GA,21.13,77.19
Hancock,GA,80.88,18.8
Haralson,GA,17.19,81.16
Harris,GA,26.71,72.14
Hart,GA,30.12,68.39
Heard,GA,22.69,75.63
Henry,GA,47.81,51.1
Houston,GA,39.02,59.58
Irwin,GA,30.72,68.34
Jackson,GA,17.85,80.59
Jasper,GA,30.54,68.45
Jeff Davis,GA,23.88,74.85
Jefferson,GA,58.36,41.08
Jenkins,GA,43.84,55.6
Johnson,GA,34.56,64.62
Jones,GA,35.27,63.9
Lamar,GA,34.18,64.36
Lanier,GA,37.41,61.11
Laurens,GA,38.26,60.85
Lee,GA,23.42,75.58
Liberty,GA,64.57,34.36
Lincoln,GA,35.8,63.36
Long,GA,37.8,60.45
Lowndes,GA,44.54,54.38
Lumpkin,GA,18.77,78.98
McDuffie,GA,42.1,57.0
McIntosh,GA,45.07,53.65
Macon,GA,67.09,32.28
Madison,GA,22.4,75.84
Marion,GA,44.42,54.51
Meriwether,GA,46.7,52.36
Miller,GA,30.65,68.53
Mitchell,GA,49.28,50.18
Monroe,GA,30.78,68.0
Montgomery,GA,29.6,69.41
Morgan,GA,30.45,68.42
Murray,GA,22.59,75.02
Muscogee,GA,60.2,38.9
Newton,GA,50.45,48.45
Oconee,GA,24.76,73.34
Oglethorpe,GA,30.45,67.64
Paulding,GA,27.5,70.98
Peach,GA,53.29,45.83
Pickens,GA,15.55,83.03
Pierce,GA,16.4,82.67
Pike,GA,16.66,81.93
Polk,GA,26.49,71.89
Pulaski,GA,33.08,66.32
Putnam,GA,31.7,67.34
Quitman,GA,54.26,45.21
Rabun,GA,20.88,77.08
Randolph,GA,57.84,41.54
Richmond,GA,66.39,32.64
Rockdale,GA,57.72,41.19
Schley,GA,25.57,73.4
Screven,GA,45.39,53.79
Seminole,GA,39.13,59.44
Spalding,GA,39.37,59.31
Stephens,GA,22.35,75.74
Stewart,GA,63.73,35.89
Sumter,GA,53.77,45.36
Talbot,GA,64.84,34.41
Taliaferro,GA,66.04,33.54
Tattnall,GA,28.41,70.48
Taylor,GA,44.41,55.03
Telfair,GA,41.61,57.17
Terrell,GA,57.73,41.62
Thomas,GA,40.3,58.74
Tift,GA,33.42,65.88
Toombs,GA,29.35,69.72
Towns,GA,20.39,78.09
Treutlen,GA,39.04,60.05
Troup,GA,40.51,58.3
Turner,GA,42.33,56.85
Twiggs,GA,53.98,45.35
Union,GA,19.25,78.97
Upson,GA,35.1,64.1
Walker,GA,23.98,73.86
Walton,GA,21.63,77.07
Ware,GA,32.63,66.44
Warren,GA,60.51,39.18
Washington,GA,53.46,45.76
Wayne,GA,25.23,73.45
Webster,GA,48.99,50.59
Wheeler,GA,35.66,63.09
White,GA,15.88,82.21
Whitfield,GA,26.74,71.58
Wilcox,GA,33.84,65.55
Wilkes,GA,43.8,55.3
Wilkinson,GA,48.95,50.4
Worth,GA,29.48,69.57
Hawaii,HI,74.42,23.25
Honolulu,HI,68.86,29.81
Kauai,HI,73.47,24.13
Maui,HI,74.1,23.85
Ada,ID,42.33,53.53
Adams,ID,28.0,68.56
Bannock,ID,37.2,59.14
Bear Lake,ID,10.7,88.2
Benewah,ID,29.96,66.82
Bingham,ID,21.62,76.03
Blaine,ID,58.78,38.64
Boise,ID,30.56,66.28
Bonner,ID,34.57,60.45
Bonneville,ID,22.91,74.68
Boundary,ID,26.96,69.06
Butte,ID,20.06,77.84
Camas,ID,27.51,69.55
Canyon,ID,29.76,66.47
Caribou,ID,12.65,85.45
Cassia,ID,13.02,84.84
Clark,ID,20.12,71.65
Clearwater,ID,27.92,68.75
Custer,ID,22.51,74.06
Elmore,ID,31.4,65.31
Franklin,ID,5.8,92.77
Fremont,ID,13.96,84.57
Gem,ID,26.12,70.9
Gooding,ID,25.15,72.22
Idaho,ID,21.79,75.52
Jefferson,ID,11.45,86.94
Jerome,ID,25.29,71.52
Kootenai,ID,31.16,65.09
Latah,ID,48.51,44.32
Lemhi,ID,23.36,73.7
Lewis,ID,24.52,72.63
Lincoln,ID,28.2,68.61
Madison,ID,5.77,93.29
Minidoka,ID,19.93,78.04
Nez Perce,ID,37.96,58.65
Oneida,ID,10.39,87.98
Owyhee,ID,22.37,75.03
Payette,ID,26.73,70.68
Power,ID,33.82,64.39
Shoshone,ID,44.23,52.43
Teton,ID,42.58,54.34
Twin Falls,ID,26.58,69.7
Valley,ID,42.59,54.16
Washington,ID,25.49,72.22
Adams,IL,31.43,66.51
Alexander,IL,56.13,42.47
Bond,IL,40.95,55.53
Boone,IL,46.09,51.75
Brown,IL,33.29,64.0
Bureau,IL,48.75,48.93
Calhoun,IL,41.93,55.9
Carroll,IL,49.49,48.0
Cass,IL,42.09,55.49
Champaign,IL,51.94,44.92
Christian,IL,37.31,60.33
Clark,IL,32.86,65.23
Clay,IL,26.81,70.92
Clinton,IL,33.95,63.86
Coles,IL,43.21,54.26
Cook,IL,73.88,24.59
Crawford,IL,33.11,64.69
Cumberland,IL,30.99,66.27
De Kalb,IL,51.42,45.91
De Witt,IL,35.3,62.15
Douglas,IL,30.68,67.34
Du Page,IL,49.73,48.63
Edgar,IL,32.74,65.5
Edwards,IL,23.36,74.5
Effingham,IL,23.24,75.25
Fayette,IL,31.66,66.03
Ford,IL,27.49,70.2
Franklin,IL,40.49,57.31
Fulton,IL,54.04,43.03
Gallatin,IL,39.99,57.99
Greene,IL,35.89,61.22
Grundy,IL,44.34,53.22
Hamilton,IL,32.2,65.11
Hancock,IL,40.06,57.85
Hardin,IL,31.85,65.88
Henderson,IL,55.44,43.19
Henry,IL,50.53,47.46
Iroquois,IL,26.64,71.19
Jackson,IL,55.26,40.92
Jasper,IL,28.48,69.68
Jefferson,IL,37.31,60.12
Jersey,IL,36.67,60.38
Jo Daviess,IL,49.58,48.42
Johnson,IL,27.61,69.6
Kane,IL,49.71,48.61
Kankakee,IL,47.3,50.68
Kendall,IL,47.39,50.71
Knox,IL,57.59,40.28
Lake,IL,53.48,45.14
La Salle,IL,48.67,49.06
Lawrence,IL,33.58,64.4
Lee,IL,45.2,52.51
Livingston,IL,33.3,64.69
Logan,IL,32.91,64.89
McDonough,IL,47.91,49.36
McHenry,IL,44.55,53.34
McLean,IL,43.4,54.37
Macon,IL,46.46,51.62
Macoupin,IL,44.89,51.92
Madison,IL,47.95,49.32
Marion,IL,39.35,58.46
Marshall,IL,41.83,56.06
Mason,IL,45.54,51.86
Massac,IL,32.21,65.87
Menard,IL,34.14,64.18
Mercer,IL,52.6,45.24
Monroe,IL,35.53,62.24
Montgomery,IL,41.5,55.6
Morgan,IL,41.06,56.37
Moultrie,IL,35.29,62.29
Ogle,IL,40.72,57.44
Peoria,IL,51.28,46.9
Perry,IL,39.99,57.67
Piatt,IL,35.35,61.92
Pike,IL,31.2,66.56
Pope,IL,29.25,68.05
Pulaski,IL,46.12,51.93
Putnam,IL,49.6,47.79
Randolph,IL,39.89,57.42
Richland,IL,32.44,65.31
Rock Island,IL,60.04,38.23
St Clair,IL,56.15,41.83
Saline,IL,34.52,63.49
Sangamon,IL,44.65,53.26
Schuyler,IL,44.26,53.02
Scott,IL,35.44,61.8
Shelby,IL,32.01,65.55
Stark,IL,41.13,57.4
Stephenson,IL,48.11,49.75
Tazewell,IL,39.88,57.66
Union,IL,37.71,59.59
Vermilion,IL,42.36,55.57
Wabash,IL,30.97,67.74
Warren,IL,51.73,46.28
Washington,IL,32.95,64.45
Wayne,IL,19.67,77.8
White,IL,30.9,66.8
Whiteside,IL,57.43,40.45
Will,IL,51.85,46.36
Williamson,IL,36.4,61.22
Winnebago,IL,51.7,46.18
Woodford,IL,29.42,68.44
Adams,IN,29.21,68.58
Allen,IN,40.77,57.46
Bartholomew,IN,36.15,61.52
Benton,IN,32.39,65.09
Blackford,IN,40.48,56.95
Boone,IN,29.98,67.7
Brown,IN,40.08,56.75
Carroll,IN,33.74,64.01
Cass,IN,37.93,59.62
Clark,IN,44.01,53.83
Clay,IN,32.02,65.67
Clinton,IN,33.47,64.13
Crawford,IN,44.47,52.75
Daviess,IN,23.74,74.42
Dearborn,IN,29.2,68.86
Decatur,IN,28.48,68.94
De Kalb,IN,33.12,64.71
Delaware,IN,50.26,47.15
Dubois,IN,35.12,62.75
Elkhart,IN,35.87,62.29
Fayette,IN,40.23,57.09
Floyd,IN,41.85,56.17
Fountain,IN,31.46,65.59
Franklin,IN,27.5,70.17
Fulton,IN,32.25,65.43
Gibson,IN,33.48,64.45
Grant,IN,37.86,59.82
Greene,IN,33.1,64.36
Hamilton,IN,31.95,66.2
Hancock,IN,28.37,69.41
Harrison,IN,37.39,60.21
Hendricks,IN,31.62,66.37
Henry,IN,40.05,57.02
Howard,IN,41.7,56.01
Huntington,IN,29.09,68.76
Jackson,IN,34.93,62.34
Jasper,IN,36.16,61.57
Jay,IN,38.77,58.79
Jefferson,IN,43.54,53.94
Jennings,IN,37.28,59.71
Johnson,IN,29.71,68.02
Knox,IN,34.52,63.47
Kosciusko,IN,22.77,74.84
La Grange,IN,31.11,66.88
Lake,IN,64.75,33.85
La Porte,IN,55.19,42.62
Lawrence,IN,32.34,65.04
Madison,IN,46.48,50.98
Marion,IN,60.1,37.92
Marshall,IN,34.48,63.25
Martin,IN,28.48,68.78
Miami,IN,32.95,63.79
Monroe,IN,58.43,39.29
Montgomery,IN,29.58,68.03
Morgan,IN,28.13,69.17
Newton,IN,39.0,58.02
Noble,IN,32.13,65.63
Ohio,IN,35.26,62.4
Orange,IN,37.8,59.38
Owen,IN,34.8,62.39
Parke,IN,32.32,64.85
Perry,IN,54.81,43.21
Pike,IN,35.86,61.2
Porter,IN,50.82,46.94
Posey,IN,37.08,60.77
Pulaski,IN,35.17,62.34
Putnam,IN,32.59,65.12
Randolph,IN,36.94,60.95
Ripley,IN,29.42,67.94
Rush,IN,31.61,65.94
St Joseph,IN,50.86,47.36
Scott,IN,45.85,52.05
Shelby,IN,31.97,65.5
Spencer,IN,41.32,56.6
Starke,IN,43.44,54.03
Steuben,IN,35.44,62.41
Sullivan,IN,38.49,59.13
Switzerland,IN,42.3,55.11
Tippecanoe,IN,46.81,50.4
Tipton,IN,32.99,64.74
Union,IN,32.8,65.14
Vanderburgh,IN,43.71,54.26
Vermillion,IN,45.12,51.89
Vigo,IN,49.27,48.42
Wabash,IN,30.81,67.03
Warren,IN,34.84,62.55
Warrick,IN,35.81,62.19
Washington,IN,36.41,60.85
Wayne,IN,41.57,56.21
Wells,IN,26.53,71.46
White,IN,36.61,60.09
Whitley,IN,29.4,68.24
Adair,IA,44.79,52.9
Adams,IA,47.05,50.71
Allamakee,IA,51.24,47.07
Appanoose,IA,47.25,50.62
Audubon,IA,46.6,52.13
Benton,IA,48.93,49.49
Black Hawk,IA,59.31,39.07
Boone,IA,52.21,45.57
Bremer,IA,50.67,47.99
Buchanan,IA,56.11,42.24
Buena Vista,IA,44.14,54.32
Butler,IA,44.12,54.42
Calhoun,IA,42.79,55.28
Carroll,IA,46.35,52.47
Cass,IA,39.67,58.53
Cedar,IA,51.53,46.94
Cerro Gordo,IA,55.89,42.51
Cherokee,IA,41.06,57.08
Chickasaw,IA,54.81,43.74
Clarke,IA,49.41,47.95
Clay,IA,39.81,58.23
Clayton,IA,52.59,45.57
Clinton,IA,60.56,37.73
Crawford,IA,45.41,53.24
Dallas,IA,43.49,55.06
Davis,IA,40.29,56.67
Decatur,IA,46.73,50.8
Delaware,IA,49.22,49.43
Des Moines,IA,58.32,39.91
Dickinson,IA,40.31,58.19
Dubuque,IA,56.53,41.81
Emmet,IA,44.78,53.49
Fayette,IA,55.3,43.33
Floyd,IA,56.68,42.05
Franklin,IA,43.69,54.44
Fremont,IA,44.63,53.76
Greene,IA,49.01,49.11
Grundy,IA,37.85,60.54
Guthrie,IA,43.63,53.86
Hamilton,IA,47.71,50.35
Hancock,IA,42.55,55.98
Hardin,IA,45.8,52.48
Harrison,IA,42.83,55.52
Henry,IA,45.99,51.92
Howard,IA,59.59,38.64
Humboldt,IA,38.23,60.08
Ida,IA,36.06,62.41
Iowa,IA,46.74,51.53
Jackson,IA,57.67,40.78
Jasper,IA,52.56,45.49
Jefferson,IA,56.25,40.28
Johnson,IA,66.69,31.19
Jones,IA,52.96,45.18
Keokuk,IA,43.73,53.99
Kossuth,IA,43.15,55.33
Lee,IA,56.65,41.17
Linn,IA,57.9,40.2
Louisa,IA,49.36,48.71
Lucas,IA,45.96,52.14
Lyon,IA,21.86,76.48
Madison,IA,42.92,54.84
Mahaska,IA,38.71,59.25
Marion,IA,42.44,55.57
Marshall,IA,53.8,44.44
Mills,IA,39.49,58.46
Mitchell,IA,50.68,47.31
Monona,IA,44.31,53.92
Monroe,IA,45.2,52.9
Montgomery,IA,38.25,59.72
Muscatine,IA,57.0,41.12
O Brien,IA,26.82,71.73
Osceola,IA,28.55,69.82
Page,IA,36.91,61.42
Palo Alto,IA,43.77,54.43
Plymouth,IA,32.15,66.39
Pocahontas,IA,37.77,59.42
Polk,IA,56.13,41.98
Pottawattamie,IA,46.44,51.68
Poweshiek,IA,53.7,44.35
Ringgold,IA,45.63,52.64
