County,State,Dem,Rep
Autauga,AL,26.54,72.49
Baldwin,AL,21.55,77.22
Barbour,AL,51.33,48.19
Bibb,AL,26.15,72.83
Blount,AL,12.34,86.27
Bullock,AL,76.31,23.51
Butler,AL,46.03,53.54
Calhoun,AL,33.45,65.3
Chambers,AL,46.97,52.13
Cherokee,AL,21.77,76.65
Chilton,AL,19.43,79.68
Choctaw,AL,47.47,52.06
Clarke,AL,45.7,53.9
Clay,AL,26.61,72.12
Cleburne,AL,15.37,83.43
Coffee,AL,24.85,73.99
Colbert,AL,39.1,59.44
Conecuh,AL,50.6,48.95
Coosa,AL,41.48,57.72
Covington,AL,20.45,78.72
Crenshaw,AL,31.91,67.42
Cullman,AL,14.62,83.92
Dale,AL,28.42,70.47
Dallas,AL,69.7,29.99
De Kalb,AL,21.87,76.54
Elmore,AL,25.19,73.86
Escambia,AL,36.85,62.35
Etowah,AL,30.04,68.34
Fayette,AL,22.83,76.07
Franklin,AL,29.14,69.54
Geneva,AL,17.99,80.97
Greene,AL,84.62,15.05
Hale,AL,62.58,37.12
Henry,AL,35.17,64.2
Houston,AL,29.46,69.72
Jackson,AL,28.22,69.98
Jefferson,AL,52.5,46.53
Lamar,AL,22.94,76.05
Lauderdale,AL,33.78,64.57
Lawrence,AL,35.83,62.72
Lee,AL,39.23,59.08
Limestone,AL,27.66,71.17
Lowndes,AL,76.39,23.34
Macon,AL,87.0,12.8
Madison,AL,39.9,58.47
Marengo,AL,53.43,46.23
Marion,AL,18.54,79.95
Marshall,AL,19.3,79.24
Mobile,AL,44.97,54.18
Monroe,AL,45.85,53.57
Montgomery,AL,61.81,37.56
Morgan,AL,27.17,71.56
Perry,AL,74.87,24.68
Pickens,AL,46.3,53.26
Pike,AL,42.73,56.38
Randolph,AL,29.54,69.32
Russell,AL,55.53,43.78
St Clair,AL,16.46,82.39
Shelby,AL,21.62,77.03
Sumter,AL,77.11,22.56
Talladega,AL,41.61,57.6
Tallapoosa,AL,33.52,65.76
Tuscaloosa,AL,40.68,58.08
Walker,AL,22.94,75.74
Washington,AL,33.87,65.56
Wilcox,AL,74.26,25.61
Winston,AL,13.22,85.44
Aleutians East,AK,0.0,0.0
Aleutians West,AK,0.0,0.0
Anchorage,AK,0.0,0.0
Bethel,AK,0.0,0.0
Bristol Bay,AK,0.0,0.0
Denali,AK,0.0,0.0
Dillingham,AK,0.0,0.0
Fairbanks North Star,AK,0.0,0.0
Haines,AK,0.0,0.0
Juneau,AK,0.0,0.0
Kenai Peninsula,AK,0.0,0.0
Ketchikan Gateway,AK,0.0,0.0
Kodiak Island,AK,0.0,0.0
Lake and Peninsula,AK,0.0,0.0
Matanuska-Susitna,AK,0.0,0.0
Nome,AK,0.0,0.0
North Slope,AK,0.0,0.0
Northwest Arctic,AK,0.0,0.0
Prince of Wales-Outer Ketchikan,AK,0.0,0.0
Sitka,AK,0.0,0.0
Skagway-Hoonah-Angoon,AK,0.0,0.0
Southeast Fairbanks,AK,0.0,0.0
Valdez-Cordova,AK,0.0,0.0
Wade Hampton,AK,0.0,0.0
Wrangell-Petersburg,AK,0.0,0.0
Yakutat,AK,0.0,0.0
Yukon-Koyukuk,AK,0.0,0.0
Apache,AZ,66.16,31.83
Cochise,AZ,37.69,59.95
Coconino,AZ,56.3,40.84
Gila,AZ,35.64,62.31
Graham,AZ,30.31,67.84
Greenlee,AZ,43.87,53.32
La Paz,AZ,32.78,64.76
Maricopa,AZ,43.61,54.3
Mohave,AZ,27.77,69.91
Navajo,AZ,45.23,53.07
Pima,AZ,52.52,45.61
Pinal,AZ,40.77,57.12
Santa Cruz,AZ,68.19,30.44
Yavapai,AZ,33.69,64.04
Yuma,AZ,42.92,55.5
Arkansas,AR,37.8,60.01
Ashley,AR,36.09,61.44
Baxter,AR,26.74,70.78
Benton,AR,28.56,68.95
Boone,AR,24.51,72.5
Bradley,AR,39.68,58.43
Calhoun,AR,30.36,67.07
Carroll,AR,36.3,60.15
Chicot,AR,60.74,38.29
Clark,AR,45.32,51.65
Clay,AR,34.01,63.11
Cleburne,AR,22.5,74.64
Cleveland,AR,25.87,70.82
Columbia,AR,37.62,61.24
Conway,AR,38.87,58.4
Craighead,AR,33.21,64.2
Crawford,AR,23.7,73.55
Crittenden,AR,56.75,41.86
Cross,AR,34.11,63.9
Dallas,AR,43.35,53.99
Desha,AR,55.27,42.9
Drew,AR,39.65,58.6
Faulkner,AR,32.85,64.45
Franklin,AR,26.39,70.81
Fulton,AR,32.11,65.21
Garland,AR,33.89,63.87
Grant,AR,22.66,74.53
Greene,AR,29.07,65.92
Hempstead,AR,35.66,61.9
Hot Spring,AR,34.01,63.03
Howard,AR,32.97,64.81
Independence,AR,26.47,70.4
Izard,AR,28.87,67.73
Jackson,AR,39.18,57.45
Jefferson,AR,63.8,34.77
Johnson,AR,34.56,62.53
Lafayette,AR,40.05,58.48
Lawrence,AR,32.27,63.83
Lee,AR,61.54,37.38
