County,State,Dem,Rep
Autauga,AL,23.77,72.77
Baldwin,AL,19.39,76.55
Barbour,AL,46.53,52.1
Bibb,AL,21.25,76.4
Blount,AL,8.43,89.33
Bullock,AL,74.95,24.2
Butler,AL,42.67,56.13
Calhoun,AL,27.67,68.66
Chambers,AL,41.61,56.42
Cherokee,AL,14.41,83.42
Chilton,AL,15.85,82.1
Choctaw,AL,42.64,56.31
Clarke,AL,44.12,54.79
Clay,AL,18.67,79.18
Cleburne,AL,10.37,87.43
Coffee,AL,20.33,76.44
Colbert,AL,29.35,67.21
Conecuh,AL,46.77,51.94
Coosa,AL,33.93,64.38
Covington,AL,14.97,83.23
Crenshaw,AL,26.55,72.01
Cullman,AL,10.03,87.1
Dale,AL,23.54,73.65
Dallas,AL,68.31,30.81
De Kalb,AL,14.02,82.88
Elmore,AL,22.66,74.17
Escambia,AL,31.02,66.92
Etowah,AL,23.64,73.26
Fayette,AL,16.51,81.37
Franklin,AL,18.25,78.62
Geneva,AL,12.97,85.0
Greene,AL,82.23,17.17
Hale,AL,59.39,39.47
Henry,AL,28.39,69.77
Houston,AL,25.01,72.07
Jackson,AL,17.5,79.45
Jefferson,AL,51.57,44.3
Lamar,AL,14.87,83.59
Lauderdale,AL,25.18,70.59
Lawrence,AL,24.46,73.05
Lee,AL,35.87,58.48
Limestone,AL,23.5,72.14
Lowndes,AL,73.06,26.2
Macon,AL,82.78,15.66
Madison,AL,38.45,54.79
Marengo,AL,51.07,47.6
Marion,AL,11.03,86.83
Marshall,AL,13.92,82.78
Mobile,AL,41.79,55.06
Monroe,AL,42.18,56.42
Montgomery,AL,61.45,35.46
Morgan,AL,22.22,74.02
Perry,AL,72.45,26.66
Pickens,AL,41.63,57.18
Pike,AL,38.4,58.42
Randolph,AL,22.49,75.64
Russell,AL,49.75,47.83
St Clair,AL,14.55,82.42
Shelby,AL,22.69,72.12
Sumter,AL,74.03,24.66
Talladega,AL,36.28,61.71
Tallapoosa,AL,28.32,69.76
Tuscaloosa,AL,38.41,57.71
Walker,AL,15.26,82.34
Washington,AL,27.82,70.81
Wilcox,AL,70.86,28.45
Winston,AL,8.46,89.48
Aleutians East,AK,0.0,0.0
Aleutians West,AK,0.0,0.0
Anchorage,AK,0.0,0.0
Bethel,AK,0.0,0.0
Bristol Bay,AK,0.0,0.0
Denali,AK,0.0,0.0
Dillingham,AK,0.0,0.0
Fairbanks North Star,AK,0.0,0.0
Haines,AK,0.0,0.0
Juneau,AK,0.0,0.0
Kenai Peninsula,AK,0.0,0.0
Ketchikan Gateway,AK,0.0,0.0
Kodiak Island,AK,0.0,0.0
Lake and Peninsula,AK,0.0,0.0
Matanuska-Susitna,AK,0.0,0.0
Nome,AK,0.0,0.0
North Slope,AK,0.0,0.0
Northwest Arctic,AK,0.0,0.0
Prince of Wales-Outer Ketchikan,AK,0.0,0.0
Sitka,AK,0.0,0.0
Skagway-Hoonah-Angoon,AK,0.0,0.0
Southeast Fairbanks,AK,0.0,0.0
Valdez-Cordova,AK,0.0,0.0
Wade Hampton,AK,0.0,0.0
Wrangell-Petersburg,AK,0.0,0.0
Yakutat,AK,0.0,0.0
Yukon-Koyukuk,AK,0.0,0.0
Apache,AZ,61.76,29.79
Cochise,AZ,34.89,56.17
Coconino,AZ,54.2,35.31
Gila,AZ,31.1,62.99
Graham,AZ,26.88,65.34
